                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In           Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat     ET   Samp   Tx   Recept  Int.
17/07/14  6:30a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.3  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.0   24.9    0.00     0    1      0.0    5 
17/07/14  6:35a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.1   25.1    0.00     0    1      0.0    5 
17/07/14  6:40a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.0   24.9    0.00     0    1      0.0    5 
17/07/14  6:45a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.0   24.9    0.00     0    1      0.0    5 
17/07/14  6:50a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.1   25.1    0.00     0    1      0.0    5 
17/07/14  6:55a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.0   24.9    0.00     0    1      0.0    5 
17/07/14  7:00a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.0   24.9    0.00     0    1      0.0    5 
17/07/14  7:05a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    68   17.8   24.9    0.00     0    1      0.0    5 
17/07/14  7:10a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.2  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.1   25.0    0.00     0    1      0.0    5 
17/07/14  7:15a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.3  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.0   24.9    0.00     0    1      0.0    5 
17/07/14  7:20a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.3  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.0   24.9    0.00     0    1      0.0    5 
17/07/14  7:25a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.1   25.1    0.00     0    1      0.0    5 
17/07/14  7:30a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.5  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.2    69   18.1   25.1    0.00     0    1      0.0    5 
17/07/14  7:35a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.5  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.1    69   18.0   24.9    0.00     0    1      0.0    5 
17/07/14  7:40a   22.3   22.4   22.1    78   18.3   0.0   ---   0.00   0.0   ---   22.3   23.0   23.0   29.1   759.4  0.00   0.0   331     2.37    332     1.6  0.06   1.6   0.000   0.014   24.2    69   18.1   25.1    0.00    84    1     73.7    5 
17/07/14  7:45a   22.7   22.9   22.4    77   18.4   0.0   ---   0.00   0.0   ---   22.7   23.5   23.5   29.7   759.3  0.00   0.0   344     2.47    346     1.7  0.06   1.7   0.000   0.015   24.2    69   18.1   25.1    0.00   115    1    100.0    5 
17/07/14  7:50a   23.3   23.6   23.0    77   19.0   0.0   WNW   0.00   1.6   WNW   23.3   24.3   24.3   30.6   759.3  0.00   0.0   352     2.52    362     1.8  0.06   1.9   0.000   0.017   24.2    69   18.1   25.1    0.00   112    1     98.2    5 
17/07/14  7:55a   23.8   24.1   23.6    75   19.1   0.0   WNW   0.00   1.6   WNW   23.8   25.0   25.0   30.8   759.5  0.00   0.0   343     2.46    374     1.9  0.07   2.0   0.000   0.019   24.2    69   18.1   25.1    0.00   116    1    100.0    5 
17/07/14  8:00a   24.4   24.7   24.1    74   19.5   0.0   ---   0.00   0.0   ---   24.4   25.7   25.7   32.1   759.4  0.00   0.0   380     2.72    385     2.1  0.07   2.1   0.000   0.021   24.2    69   18.1   25.1    0.20   111    1     97.4    5 
17/07/14  8:05a   24.9   25.2   24.7    71   19.3   0.0   WNW   0.00   1.6   WNW   24.9   26.1   26.1   32.5   759.4  0.00   0.0   392     2.81    401     2.2  0.08   2.3   0.000   0.023   24.2    69   18.2   25.2    0.00   111    1     97.4    5 
17/07/14  8:10a   25.4   25.6   25.2    70   19.6   0.0   WNW   0.00   1.6   WNW   25.4   26.6   26.6   33.2   759.3  0.00   0.0   414     2.97    422     2.4  0.09   2.5   0.000   0.025   24.2    69   18.2   25.2    0.00   114    1    100.0    5 
17/07/14  8:15a   25.8   25.9   25.7    70   19.9   0.0   WNW   0.00   1.6   WNW   25.8   27.1   27.1   33.7   759.4  0.00   0.0   431     3.09    443     2.7  0.10   2.7   0.000   0.026   24.2    69   18.2   25.2    0.00   111    1     97.4    5 
17/07/14  8:20a   26.2   26.3   26.0    67   19.6   0.0   WNW   0.00   1.6   WNW   26.2   27.3   27.3   33.9   759.3  0.00   0.0   442     3.17    455     2.9  0.10   3.0   0.000   0.027   24.3    69   18.3   25.3    0.00   116    1    100.0    5 
17/07/14  8:25a   26.4   26.6   26.3    68   20.1   0.0   WNW   0.00   1.6   WNW   26.4   27.7   27.7   34.6   759.3  0.00   0.0   471     3.38    483     3.2  0.11   3.3   0.000   0.028   24.3    69   18.3   25.3    0.00   114    1    100.0    5 
